               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12428,            0.033687,            0.051122,            0.001004,            0.017857,           0.0006256,           6.256e-05,              0.1168,            0.026386,             0.05126,              0.0964,              0.0004,              0.0004
                   1,             0.12035,            0.039842,            0.050458,           0.0015576,            0.035714,          0.00094963,          9.4963e-05,              0.1099,            0.028846,            0.049313,            0.091886,          0.00088608,          0.00088608
                   2,             0.11576,            0.043036,             0.04865,           0.0019583,             0.30357,           0.0022884,          0.00045392,             0.10446,            0.030567,            0.047417,            0.087357,           0.0013567,           0.0013567
                   3,             0.10761,            0.046506,            0.045306,           0.0027346,             0.35714,            0.012271,           0.0027677,            0.096965,            0.032036,            0.043688,            0.082812,           0.0018118,           0.0018118
                   4,            0.099711,            0.051955,            0.042616,           0.0032924,             0.41071,             0.06209,            0.017648,             0.08875,            0.033826,            0.040875,            0.078252,           0.0022515,           0.0022515
                   5,            0.096716,             0.05752,            0.040449,           0.0030217,             0.24405,             0.03352,           0.0079686,            0.086785,            0.033963,            0.039152,            0.073676,           0.0026757,           0.0026757
                   6,            0.092634,             0.04964,            0.039169,           0.0028917,              0.2619,           0.0040911,           0.0015085,            0.089267,            0.032261,             0.03723,            0.069084,           0.0030844,           0.0030844
                   7,            0.091889,            0.057351,            0.037584,             0.80073,             0.10714,             0.09934,            0.015395,            0.077293,            0.033439,            0.036024,            0.064478,           0.0034777,           0.0034777
                   8,            0.083272,            0.052525,            0.035688,             0.77798,            0.071429,            0.045688,           0.0090666,             0.07505,             0.03289,            0.035113,            0.059856,           0.0038555,           0.0038555
                   9,            0.079499,            0.051635,             0.03459,             0.58258,             0.27381,              0.1365,            0.023395,            0.090894,            0.026775,            0.034044,            0.055218,           0.0042178,           0.0042178
                  10,            0.093307,            0.045636,            0.033255,             0.61287,             0.20238,             0.22339,             0.06968,            0.085535,            0.025708,            0.033199,            0.050565,           0.0045647,           0.0045647
